date,apparel_cpi,wages
1964-01-01,100.0,100.0
1964-02-01,100.0,100.0
1964-03-01,100.0,100.4
1964-04-01,100.21186440677965,100.8
1964-05-01,100.21186440677965,100.8
1964-06-01,100.21186440677965,101.2
1964-07-01,100.42372881355932,101.6
1964-08-01,100.42372881355932,102.0
1964-09-01,100.0,102.4
1964-10-01,100.0,102.0
1964-11-01,100.21186440677965,102.4
1964-12-01,100.42372881355932,103.2
1965-01-01,100.63559322033898,103.2
1965-02-01,100.63559322033898,103.60000000000001
1965-03-01,100.63559322033898,104.4
1965-04-01,100.84745762711864,104.0
1965-05-01,101.05932203389831,104.80000000000001
1965-06-01,101.27118644067797,105.2
1965-07-01,101.05932203389831,105.2
1965-08-01,101.27118644067797,105.60000000000001
1965-09-01,101.27118644067797,106.0
1965-10-01,101.4830508474576,106.4
1965-11-01,101.69491525423729,106.80000000000001
1965-12-01,101.90677966101696,106.80000000000001
1966-01-01,102.33050847457625,107.2
1966-02-01,102.54237288135593,107.60000000000001
1966-03-01,102.7542372881356,108.0
1966-04-01,103.17796610169492,108.4
1966-05-01,103.38983050847457,108.80000000000001
1966-06-01,103.60169491525424,109.2
1966-07-01,104.02542372881356,109.60000000000001
1966-08-01,104.02542372881356,110.00000000000001
1966-09-01,104.66101694915253,110.39999999999999
1966-10-01,105.08474576271185,110.80000000000001
1966-11-01,105.29661016949152,111.19999999999999
1966-12-01,105.72033898305084,111.19999999999999
1967-01-01,106.14406779661016,111.99999999999999
1967-02-01,106.56779661016948,112.4
1967-03-01,106.77966101694913,112.4
1967-04-01,107.20338983050848,112.79999999999998
1967-05-01,107.41525423728812,113.20000000000002
1967-06-01,107.83898305084745,114.00000000000001
1967-07-01,108.26271186440677,114.39999999999999
1967-08-01,108.68644067796609,115.19999999999999
1967-09-01,108.68644067796609,115.19999999999999
1967-10-01,109.11016949152541,115.60000000000001
1967-11-01,109.32203389830508,116.40000000000002
1967-12-01,109.95762711864406,116.8
1968-01-01,110.38135593220339,117.6
1968-02-01,111.01694915254237,118.00000000000001
1968-03-01,111.65254237288136,118.80000000000001
1968-04-01,112.28813559322033,119.60000000000002
1968-05-01,112.9237288135593,120.0
1968-06-01,113.34745762711864,120.39999999999999
1968-07-01,114.19491525423729,121.2
1968-08-01,114.83050847457628,121.6
1968-09-01,115.46610169491525,122.8
1968-10-01,116.10169491525421,123.2
1968-11-01,116.31355932203388,124.0
1968-12-01,116.94915254237289,124.4
1969-01-01,117.58474576271185,124.8
1969-02-01,118.0084745762712,125.6
1969-03-01,118.43220338983049,126.4
1969-04-01,119.06779661016948,127.2
1969-05-01,119.4915254237288,127.60000000000001
1969-06-01,120.12711864406779,128.4
1969-07-01,120.76271186440677,128.8
1969-08-01,120.76271186440677,129.6
1969-09-01,121.61016949152541,130.39999999999998
1969-10-01,122.03389830508473,131.2
1969-11-01,122.66949152542372,131.99999999999997
1969-12-01,122.88135593220338,132.4
1970-01-01,123.30508474576271,132.4
1970-02-01,123.94067796610169,133.20000000000002
1970-03-01,123.94067796610169,134.39999999999998
1970-04-01,124.36440677966101,134.39999999999998
1970-05-01,124.57627118644066,134.8
1970-06-01,125.0,136.0
1970-07-01,125.21186440677965,136.4
1970-08-01,125.63559322033898,137.6
1970-09-01,126.27118644067797,138.0
1970-10-01,126.69491525423729,138.0
1970-11-01,127.33050847457628,138.8
1970-12-01,127.75423728813557,140.0
1971-01-01,127.96610169491525,141.2
1971-02-01,128.38983050847457,142.0
1971-03-01,128.38983050847457,142.4
1971-04-01,128.60169491525423,143.2
1971-05-01,129.44915254237287,144.4
1971-06-01,129.66101694915253,144.79999999999998
1971-07-01,129.87288135593218,145.2
1971-08-01,129.44915254237287,146.4
1971-09-01,129.87288135593218,146.8
1971-10-01,130.08474576271186,147.2
1971-11-01,130.29661016949152,148.0
1971-12-01,130.50847457627117,149.2
1972-01-01,130.72033898305085,152.0
1972-02-01,131.14406779661016,152.8
1972-03-01,131.14406779661016,153.6
1972-04-01,131.5677966101695,154.4
1972-05-01,131.77966101694915,155.20000000000002
1972-06-01,131.77966101694915,155.20000000000002
1972-07-01,131.77966101694915,156.0
1972-08-01,131.3559322033898,156.8
1972-09-01,132.41525423728814,157.6
1972-10-01,133.0508474576271,158.8
1972-11-01,133.47457627118644,159.60000000000002
1972-12-01,133.89830508474577,160.0
1973-01-01,133.89830508474577,161.20000000000002
1973-02-01,134.32203389830508,162.0
1973-03-01,135.16949152542372,162.39999999999998
1973-04-01,136.01694915254237,163.6
1973-05-01,136.4406779661017,164.0
1973-06-01,136.864406779661,164.8
1973-07-01,136.864406779661,166.0
1973-08-01,137.5,166.4
1973-09-01,138.13559322033896,168.00000000000003
1973-10-01,138.55932203389833,168.4
1973-11-01,139.1949152542373,169.60000000000002
1973-12-01,139.83050847457625,170.0
1974-01-01,140.46610169491524,170.79999999999998
1974-02-01,141.94915254237287,171.6
1974-03-01,143.00847457627117,172.8
1974-04-01,144.4915254237288,173.2
1974-05-01,145.55084745762713,176.00000000000003
1974-06-01,146.6101694915254,177.60000000000002
1974-07-01,147.24576271186442,178.0
1974-08-01,149.99999999999997,179.6
1974-09-01,150.4237288135593,181.20000000000002
1974-10-01,150.84745762711864,182.39999999999998
1974-11-01,151.90677966101697,182.8
1974-12-01,151.90677966101697,184.0
1975-01-01,152.1186440677966,184.4
1975-02-01,152.54237288135593,185.6
1975-03-01,152.75423728813558,186.79999999999998
1975-04-01,152.75423728813558,186.79999999999998
1975-05-01,152.96610169491524,187.60000000000002
1975-06-01,152.96610169491524,188.79999999999998
1975-07-01,153.81355932203385,189.60000000000002
1975-08-01,153.81355932203385,191.20000000000002
1975-09-01,154.02542372881356,191.6
1975-10-01,154.66101694915253,192.8
1975-11-01,155.08474576271186,194.4
1975-12-01,155.5084745762712,194.79999999999998
1976-01-01,156.14406779661016,196.00000000000003
1976-02-01,156.77966101694915,197.2
1976-03-01,157.20338983050848,198.0
1976-04-01,157.41525423728814,199.20000000000002
1976-05-01,158.0508474576271,200.4
1976-06-01,158.68644067796612,201.2
1976-07-01,159.53389830508473,202.4
1976-08-01,160.59322033898303,204.4
1976-09-01,161.22881355932202,205.6
1976-10-01,161.44067796610167,206.4
1976-11-01,162.0762711864407,208.4
1976-12-01,162.71186440677965,209.20000000000002
1977-01-01,163.5593220338983,210.4
1977-02-01,164.40677966101694,212.0
1977-03-01,164.1949152542373,212.8
1977-04-01,164.40677966101694,214.4
1977-05-01,165.4661016949152,216.0
1977-06-01,166.31355932203388,216.8
1977-07-01,167.58474576271186,218.4
1977-08-01,167.79661016949152,219.20000000000002
1977-09-01,167.58474576271186,220.39999999999998
1977-10-01,168.00847457627117,221.99999999999997
1977-11-01,169.0677966101695,223.20000000000002
1977-12-01,169.70338983050846,224.40000000000003
1978-01-01,169.70338983050846,226.40000000000003
1978-02-01,168.4322033898305,227.60000000000002
1978-03-01,169.27966101694915,229.20000000000002
1978-04-01,170.97457627118644,231.6
1978-05-01,172.2457627118644,232.80000000000004
1978-06-01,172.88135593220338,234.40000000000003
1978-07-01,172.66949152542372,236.00000000000003
1978-08-01,173.09322033898303,236.79999999999998
1978-09-01,173.51694915254237,238.79999999999998
1978-10-01,174.5762711864407,240.79999999999998
1978-11-01,174.99999999999997,242.0
1978-12-01,174.99999999999997,244.0
1979-01-01,175.84745762711864,245.2
1979-02-01,176.4830508474576,247.2
1979-03-01,177.1186440677966,248.8
1979-04-01,177.96610169491524,248.4
1979-05-01,179.02542372881354,250.8
1979-06-01,179.44915254237287,252.8
1979-07-01,179.66101694915253,254.4
1979-08-01,180.08474576271186,256.0
1979-09-01,181.3559322033898,258.0
1979-10-01,182.4152542372881,258.40000000000003
1979-11-01,183.4745762711864,260.40000000000003
1979-12-01,184.95762711864404,262.4
1980-01-01,186.65254237288133,262.8
1980-02-01,187.9237288135593,265.2
1980-03-01,190.04237288135593,267.6
1980-04-01,190.88983050847455,268.79999999999995
1980-05-01,191.31355932203388,270.4
1980-06-01,191.94915254237287,272.8
1980-07-01,192.58474576271186,274.40000000000003
1980-08-01,193.64406779661016,276.40000000000003
1980-09-01,194.91525423728814,278.0
1980-10-01,196.39830508474577,280.79999999999995
1980-11-01,197.2457627118644,283.59999999999997
1980-12-01,197.6694915254237,285.2
1981-01-01,197.8813559322034,287.2
1981-02-01,198.94067796610167,289.20000000000005
1981-03-01,199.78813559322032,291.59999999999997
1981-04-01,200.63559322033896,293.2
1981-05-01,200.84745762711864,294.8
1981-06-01,201.27118644067795,296.4
1981-07-01,202.11864406779662,298.0
1981-08-01,203.1779661016949,300.8
1981-09-01,203.6016949152542,302.4
1981-10-01,204.23728813559322,303.6
1981-11-01,204.23728813559322,305.2
1981-12-01,204.87288135593218,305.6
1982-01-01,204.87288135593218,308.8
1982-02-01,205.5084745762712,308.8
1982-03-01,206.14406779661016,310.0
1982-04-01,206.56779661016947,310.79999999999995
1982-05-01,206.77966101694915,313.6
1982-06-01,206.9915254237288,313.99999999999994
1982-07-01,207.83898305084745,316.0
1982-08-01,207.83898305084745,317.6
1982-09-01,207.83898305084745,317.6
1982-10-01,208.26271186440675,318.40000000000003
1982-11-01,208.26271186440675,319.20000000000005
1982-12-01,208.05084745762713,320.4
1983-01-01,208.89830508474572,322.40000000000003
1983-02-01,209.95762711864404,323.59999999999997
1983-03-01,209.95762711864404,324.0
1983-04-01,210.38135593220338,325.20000000000005
1983-05-01,211.65254237288136,326.79999999999995
1983-06-01,212.5,327.59999999999997
1983-07-01,213.77118644067798,328.8
1983-08-01,213.9830508474576,328.0
1983-09-01,213.55932203389827,330.79999999999995
1983-10-01,213.13559322033896,332.40000000000003
1983-11-01,213.77118644067798,332.40000000000003
1983-12-01,214.1949152542373,333.2
1984-01-01,215.04237288135593,335.20000000000005
1984-02-01,214.40677966101697,335.20000000000005
1984-03-01,214.6186440677966,336.4
1984-04-01,214.40677966101697,338.0
1984-05-01,214.83050847457625,338.0
1984-06-01,214.6186440677966,339.20000000000005
1984-07-01,215.88983050847457,340.4
1984-08-01,217.1610169491525,340.4
1984-09-01,217.58474576271186,342.00000000000006
1984-10-01,218.22033898305082,342.00000000000006
1984-11-01,218.22033898305082,342.8
1984-12-01,218.4322033898305,344.4
1985-01-01,218.64406779661016,344.4
1985-02-01,220.55084745762707,345.6
1985-03-01,221.39830508474577,346.4
1985-04-01,221.39830508474577,347.6
1985-05-01,221.1864406779661,347.99999999999994
1985-06-01,222.6694915254237,349.6
1985-07-01,222.88135593220338,349.6
1985-08-01,223.09322033898303,350.4
1985-09-01,223.51694915254234,352.00000000000006
1985-10-01,223.94067796610167,351.59999999999997
